,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,bodmin,50.47,-4.72,14.0,87,75,4.1,GB,1592607182
137,sungairaya,0.7,108.9,25.23,90,100,2.83,ID,1592606898
138,lufilufi,-13.87,-171.6,29.0,79,75,5.7,WS,1592607182
139,san patricio,19.22,-104.7,30.0,66,5,5.1,MX,1592607182
140,show low,34.25,-110.03,28.0,7,1,6.2,US,1592607183
141,cape town,-33.93,18.42,16.67,87,5,2.6,ZA,1592607115
142,severo-kurilsk,50.68,156.12,5.54,91,100,8.52,RU,1592607094
143,manaure,11.78,-72.44,30.08,65,100,9.11,CO,1592607183
144,zhigansk,66.77,123.37,21.86,40,12,0.92,RU,1592607183
145,kloulklubed,7.04,134.26,27.0,88,75,4.26,PW,1592607184
146,marzuq,14.4,46.47,29.39,25,41,2.1,YE,1592607105
147,tizimin,21.15,-88.15,30.51,71,58,2.31,MX,1592607184
148,mercedes,-34.65,-59.43,10.56,56,20,1.79,AR,1592607184
149,skjervoy,70.03,20.97,7.0,81,57,3.1,NO,1592607094
150,souillac,-20.52,57.52,22.0,68,75,6.7,MU,1592607185
151,namibe,-15.2,12.15,22.09,57,61,2.43,AO,1592607185
152,goderich,43.75,-81.72,25.0,59,29,0.45,CA,1592607108
153,batsfjord,70.63,29.72,6.0,70,40,4.6,NO,1592607185
154,santa isabel do rio negro,-0.41,-65.02,24.59,94,50,0.85,BR,1592607185
155,bafq,31.61,55.41,31.24,12,53,2.48,IR,1592607186
156,nieuw nickerie,5.95,-56.98,26.5,84,53,4.19,SR,1592607186
157,ipora,-16.44,-51.12,20.29,59,82,0.81,BR,1592607186
158,teshie,5.58,-0.11,26.0,88,40,5.1,GH,1592607186
159,praia da vitoria,38.73,-27.07,20.0,82,75,3.44,PT,1592607186
160,ahipara,-35.17,173.17,14.66,81,82,3.22,NZ,1592607186
161,gat,31.61,34.76,23.0,78,40,3.6,IL,1592607186
162,pasni,25.26,63.47,28.69,86,13,3.18,PK,1592607187
163,comodoro rivadavia,-45.87,-67.5,11.0,53,0,8.7,AR,1592606956
164,baylo,7.85,126.06,25.0,1,72,1.11,PH,1592607187
165,ambulu,-8.35,113.61,23.01,89,82,1.36,ID,1592607187
166,miramar,25.99,-80.23,30.0,78,90,9.8,US,1592607187
167,airai,-8.93,125.41,15.95,100,72,2.23,TL,1592606965
168,pierre,44.37,-100.35,24.44,38,1,2.6,US,1592606906
169,bakchar,57.02,82.07,4.1,91,22,1.99,RU,1592607188
170,weligama,5.97,80.42,27.45,86,97,5.4,LK,1592607188
171,george town,5.41,100.34,26.0,94,20,1.5,MY,1592607088
172,koumac,-20.57,164.28,23.14,72,0,4.64,NC,1592607188
173,gisborne,-38.65,178.0,13.89,81,100,0.89,NZ,1592606904
174,alice springs,-23.7,133.88,10.0,57,0,3.1,AU,1592607189
175,pemangkat,1.17,108.97,24.77,90,98,2.65,ID,1592607133
176,boca do acre,-8.75,-67.4,24.0,90,80,0.61,BR,1592607189
177,verkhnevilyuysk,63.45,120.32,21.27,60,1,0.94,RU,1592607189
178,tucuman,-26.82,-65.22,18.0,52,3,2.1,AR,1592606897
179,mao,39.89,4.27,18.0,77,0,2.1,ES,1592607190
180,san bartolome,27.92,-15.57,22.22,73,75,10.3,ES,1592607190
181,mogadishu,2.04,45.34,25.44,83,56,8.18,SO,1592607102
182,acarau,-2.89,-40.12,25.51,85,49,5.57,BR,1592607190
183,smithers,54.78,-127.17,18.0,72,90,2.6,CA,1592607190
184,faanui,-16.48,-151.75,26.72,76,90,1.53,PF,1592607191
185,zeya,53.75,127.27,15.15,68,97,2.15,RU,1592607191
186,vila franca do campo,37.72,-25.43,18.0,88,75,5.1,PT,1592607191
187,lata,40.16,-8.33,16.67,82,0,2.6,PT,1592607191
188,odweyne,9.41,45.06,23.22,61,14,6.98,SO,1592607191
189,lovozero,68.0,35.01,5.89,74,100,6.77,RU,1592607191
190,candido de abreu,-24.57,-51.33,17.58,90,4,0.75,BR,1592607191
191,khangah dogran,31.83,73.62,34.52,18,0,1.24,PK,1592607192
192,ixtapa,20.7,-105.2,29.44,70,5,3.6,MX,1592607192
193,krasnyy chikoy,50.36,108.75,16.31,78,70,1.44,RU,1592607192
194,saint-augustin,51.23,-58.65,8.27,83,100,3.2,CA,1592607192
195,oxapampa,-10.58,-75.4,16.68,87,22,0.42,PE,1592607192
196,bloemfontein,-29.12,26.21,0.0,80,0,1.0,ZA,1592606947
197,pak phanang,8.35,100.2,26.14,84,89,2.7,TH,1592607192
198,gravelbourg,49.88,-106.55,17.62,42,99,4.49,CA,1592607193
199,bayburt,40.26,40.23,8.74,87,27,0.41,TR,1592607193
200,lima,-12.04,-77.03,19.0,72,40,5.7,PE,1592607088
201,hofn,64.25,-15.21,11.05,80,82,6.12,IS,1592607193
202,mahebourg,-20.41,57.7,22.0,68,75,6.7,MU,1592607024
203,la ronge,55.1,-105.28,6.0,87,90,3.1,CA,1592607193
204,aksarka,66.56,67.8,10.16,51,99,6.17,RU,1592607193
205,touros,-5.2,-35.46,24.0,100,75,1.5,BR,1592607193
206,fortuna,40.6,-124.16,15.56,93,90,6.2,US,1592607190
207,ossora,59.24,163.07,13.84,68,0,3.45,RU,1592607194
208,harper,4.38,-7.72,25.63,76,98,1.96,LR,1592607194
209,rorvik,64.86,11.24,15.23,68,33,4.2,NO,1592607194
210,lompoc,34.64,-120.46,20.0,68,14,6.2,US,1592607194
211,belaya gora,68.53,146.42,31.02,20,33,3.69,RU,1592607194
212,walvis bay,-22.96,14.51,21.0,21,0,4.1,NA,1592607089
213,thompson,55.74,-97.86,9.0,93,75,3.1,CA,1592607041
214,ust-maya,60.42,134.53,17.4,72,98,1.31,RU,1592607195
215,upernavik,72.79,-56.15,3.85,74,14,3.28,GL,1592607195
216,avera,33.19,-82.53,31.0,43,1,3.1,US,1592607195
217,morant bay,17.88,-76.41,31.0,66,20,10.8,JM,1592607126
218,hami,42.8,93.45,25.49,28,86,1.41,CN,1592607196
219,atuona,-9.8,-139.03,26.91,75,2,5.72,PF,1592607088
220,baruun-urt,46.68,113.28,19.06,69,99,6.66,MN,1592607196
221,iqaluit,63.75,-68.51,5.0,75,90,6.2,CA,1592607044
222,shediac,46.22,-64.54,33.0,38,20,7.7,CA,1592607196
223,omboue,-1.57,9.26,22.27,92,42,1.65,GA,1592607129
224,tiznit,29.58,-9.5,18.66,70,0,1.96,MA,1592607067
225,flinders,-34.58,150.86,17.22,94,5,1.79,AU,1592607051
226,naze,28.37,129.48,26.0,88,75,2.1,JP,1592607115
227,carutapera,-1.2,-46.02,24.83,89,70,3.18,BR,1592607197
228,hamilton,39.18,-84.53,31.11,38,40,3.6,US,1592607059
229,rio gallegos,-51.62,-69.22,0.0,86,34,3.1,AR,1592607097
230,rincon,32.3,-81.24,25.56,94,75,3.6,US,1592607032
231,cherskiy,68.75,161.3,26.73,27,41,2.35,RU,1592607198
232,kimbe,-5.55,150.14,28.99,70,26,1.28,PG,1592607198
233,jalu,29.03,21.55,27.86,21,0,4.16,LY,1592607198
234,palmer,42.16,-72.33,29.0,45,75,3.6,US,1592606940
235,saint-pierre,-21.34,55.48,21.0,73,20,8.2,RE,1592607198
236,srednekolymsk,67.45,153.68,29.69,23,2,6.24,RU,1592607198
237,arraial do cabo,-22.97,-42.03,23.3,81,100,4.96,BR,1592607199
238,bereda,43.27,-7.54,14.44,96,12,0.89,ES,1592607199
239,kamenka,51.32,42.77,19.44,53,100,3.58,RU,1592607199
240,bethel,41.37,-73.41,27.0,54,40,3.6,US,1592607113
241,tiksi,71.69,128.87,19.41,39,0,3.71,RU,1592607087
242,pimentel,-6.84,-79.93,20.0,72,4,8.7,PE,1592607199
243,poronaysk,49.22,143.12,9.32,85,100,5.15,RU,1592607200
244,guerrero negro,27.98,-114.06,21.96,56,56,8.63,MX,1592607200
245,nome,64.5,-165.41,20.56,67,75,3.6,US,1592607119
246,merauke,-8.47,140.33,26.56,78,64,7.82,ID,1592607200
247,vredendal,-31.67,18.5,14.8,52,0,1.75,ZA,1592607200
248,hambantota,6.12,81.12,27.87,79,95,7.76,LK,1592607104
249,cabedelo,-6.98,-34.83,24.0,100,75,1.0,BR,1592607201
250,oga,46.46,10.35,8.0,100,43,1.0,IT,1592607201
251,mezen,65.85,44.24,5.32,77,98,6.46,RU,1592607201
252,phetchabun,16.25,101.08,23.69,87,44,1.53,TH,1592607201
253,dingle,11.0,122.67,26.48,76,57,1.6,PH,1592607201
254,tignoan,14.56,121.62,27.0,88,75,0.5,PH,1592607201
255,saint george,37.1,-113.58,35.0,7,1,2.1,US,1592607202
256,salalah,17.02,54.09,27.0,94,82,0.83,OM,1592607202
257,voh,-20.97,164.7,24.02,65,6,3.95,NC,1592607202
258,coihaique,-45.58,-72.07,5.0,80,75,5.1,CL,1592607202
259,huangmei,30.19,116.03,21.55,88,99,1.66,CN,1592607202
260,jacmel,18.23,-72.53,32.0,55,43,3.6,HT,1592607202
261,podgornoye,51.73,39.15,21.0,77,75,3.0,RU,1592607203
262,howard springs,-12.5,131.05,24.0,73,20,2.1,AU,1592607203
263,najran,17.49,44.13,30.0,17,100,1.0,SA,1592607203
264,myitkyina,25.38,97.4,23.94,96,91,0.26,MM,1592607203
265,olafsvik,64.89,-23.71,10.85,72,100,6.77,IS,1592607160
266,perigueux,45.18,0.72,13.89,81,100,1.34,FR,1592607203
267,margate,51.38,1.39,14.44,80,0,0.89,GB,1592607203
268,mindelo,16.89,-24.98,24.0,73,20,10.3,CV,1592607204
269,kirakira,-10.45,161.92,27.94,77,30,4.38,SB,1592607070
270,san jeronimo,-11.95,-75.28,12.16,60,73,1.79,PE,1592607204
271,artsyz,45.99,29.42,20.44,78,39,2.2,UA,1592607204
272,meulaboh,4.14,96.13,24.58,87,100,2.03,ID,1592607139
273,turka,49.15,23.03,16.67,84,82,0.66,UA,1592607204
274,pokhvistnevo,53.65,52.13,10.71,82,0,1.52,RU,1592607205
275,amod,21.98,72.9,29.38,75,72,5.54,IN,1592607205
276,sal rei,16.18,-22.92,24.0,73,75,6.2,CV,1592607205
277,manggar,-2.88,108.27,26.27,87,98,7.2,ID,1592607205
278,hay river,60.82,-115.8,29.0,32,20,5.1,CA,1592607012
279,pangnirtung,66.15,-65.71,4.0,86,40,5.1,CA,1592607205
280,necochea,-38.55,-58.74,10.56,73,9,2.24,AR,1592607104
281,solano,38.23,-121.95,36.0,27,1,7.7,US,1592607033
282,umm lajj,25.02,37.27,25.09,77,0,1.73,SA,1592607206
283,altar,30.7,-111.82,36.67,12,0,2.24,MX,1592607206
284,rocha,-34.48,-54.33,11.51,85,100,2.21,UY,1592607206
285,maturin,9.75,-63.18,24.82,93,75,2.27,VE,1592607206
286,porto torres,40.84,8.4,17.78,93,61,2.1,IT,1592607207
287,adrar,20.5,-10.07,36.37,15,49,6.29,MR,1592607207
288,santa ines,-3.67,-45.38,23.51,91,9,1.06,BR,1592607207
289,kapustin yar,48.58,45.74,24.29,30,70,5.81,RU,1592607207
290,takanabe,32.13,131.5,22.0,83,75,2.1,JP,1592607207
291,westport,41.14,-73.36,25.56,71,88,0.45,US,1592607207
292,benghazi,32.12,20.07,26.53,36,0,2.04,LY,1592607208
293,samarai,-10.62,150.67,26.22,85,76,6.21,PG,1592607208
294,san quintin,30.48,-115.95,20.19,62,0,5.76,MX,1592607208
295,homer,59.64,-151.55,13.0,58,40,4.1,US,1592607208
296,goma,-1.68,29.22,17.85,80,95,0.39,CD,1592607208
297,te anau,-45.42,167.72,5.3,77,14,0.19,NZ,1592607207
298,anloga,5.79,0.9,26.0,88,20,4.1,GH,1592607208
299,ostersund,63.18,14.64,18.0,68,0,6.2,SE,1592607209
300,christchurch,-43.53,172.63,7.22,87,88,5.1,NZ,1592607209
301,casino,-28.87,153.05,14.0,93,100,2.1,AU,1592607209
302,seydi,39.48,62.91,25.92,16,0,4.07,TM,1592607209
303,micheweni,-4.97,39.83,25.39,78,0,6.64,TZ,1592607209
304,pangkalanbuun,-2.68,111.62,23.04,99,95,1.22,ID,1592606988
305,shubarkuduk,49.14,56.49,16.8,32,0,5.74,KZ,1592607210
306,geraldton,-28.77,114.6,9.0,70,0,2.6,AU,1592607210
